iter	Logloss
0	0.6613139309
1	0.6370540047
2	0.6121531484
3	0.593277429
4	0.5731893329
5	0.5590807819
6	0.5427695051
7	0.5295505651
8	0.518474759
9	0.5093371459
10	0.50119003
11	0.4953383765
12	0.4878277754
13	0.482140808
14	0.4766565471
15	0.4730468521
16	0.4680480903
17	0.4647203541
18	0.4606724715
19	0.4573271527
20	0.4540322763
21	0.4509345153
22	0.4489428123
23	0.4465281509
24	0.4443646198
25	0.4420144023
26	0.439821999
27	0.437254497
28	0.4352868192
29	0.4340646311
30	0.4327010165
31	0.4312885582
32	0.4300456161
33	0.4289938121
34	0.4280646718
35	0.4270328723
36	0.4259475964
37	0.4250016166
38	0.4239115078
39	0.42301712
40	0.4223919697
41	0.4211219587
42	0.420466829
43	0.4197020499
44	0.4186289463
45	0.4180431951
46	0.417214585
47	0.4164847353
48	0.4159977157
49	0.4152888618
50	0.4148016155
51	0.4140699825
52	0.4134940663
53	0.4130791448
54	0.4126012736
55	0.4119797901
56	0.411465786
57	0.4111178838
58	0.4107181936
59	0.4103389888
60	0.4099441782
61	0.409666125
62	0.4094007083
63	0.4089980878
64	0.4086771726
65	0.4082540327
66	0.4080081727
67	0.4077430589
68	0.4074631916
69	0.4072210515
70	0.4068583395
71	0.4065378052
72	0.4062088886
73	0.4059641332
74	0.4056474516
75	0.4054475963
76	0.4050969901
77	0.4049459361
78	0.4047342461
79	0.4043924753
80	0.4041322061
81	0.4038365469
82	0.4036692609
83	0.4033743757
84	0.40320377
85	0.4030866222
86	0.4028865474
87	0.4027136574
88	0.4024705251
89	0.4022223983
90	0.4020143005
91	0.4018259044
92	0.4016241684
93	0.40125902
94	0.4009877317
95	0.4008569703
96	0.4006966318
97	0.4005581577
98	0.4001783173
99	0.3998584434
100	0.3997006475
101	0.3995294192
102	0.3993283576
103	0.3990240544
104	0.3988800188
105	0.3987472245
106	0.3986380228
107	0.3984499321
108	0.3982105612
109	0.3980361884
110	0.3979042187
111	0.3977501962
112	0.3975727222
113	0.3973793104
114	0.3972360368
115	0.3970578612
116	0.3969137415
117	0.3967964874
118	0.3965925606
119	0.3963944397
120	0.396216126
121	0.3960319667
122	0.3959284461
123	0.3958254537
124	0.3956650756
125	0.3955358322
126	0.3953945465
127	0.3952722765
128	0.3951301511
129	0.3950223978
130	0.394737262
131	0.394622899
132	0.3945267482
133	0.3944041068
134	0.3942442503
135	0.3942206828
136	0.3941096784
137	0.3940563072
138	0.3938485941
139	0.3937698559
140	0.3937027058
141	0.3935260323
142	0.3934345636
143	0.3933932653
144	0.3933351286
145	0.3932759907
146	0.3931231117
147	0.3929517084
148	0.3928373057
149	0.392704479
150	0.3926143876
151	0.3925016165
152	0.3923898961
153	0.3922554809
154	0.3920394499
155	0.3919208811
156	0.391845133
157	0.3916487121
158	0.3915048974
159	0.3913873581
160	0.3913237503
161	0.3912084511
162	0.3910082973
163	0.3909158694
164	0.3908161309
165	0.3906398208
166	0.3905287518
167	0.3904046885
168	0.390296753
169	0.3900880764
170	0.3899533031
171	0.3898128828
172	0.3897248622
173	0.3894734045
174	0.3893770381
175	0.3893052915
176	0.3891179835
177	0.3890635941
178	0.3889053883
179	0.3888050834
180	0.3886012619
181	0.3884519836
182	0.3882697446
183	0.3880950722
184	0.3879308979
185	0.3878031403
186	0.3877060511
187	0.3875802843
188	0.387424991
189	0.3873022783
190	0.3872213993
191	0.387118477
192	0.3869666413
193	0.3869072745
194	0.3868128583
195	0.3866415034
196	0.3865105692
197	0.3863704568
198	0.3862217177
199	0.3861140663
